Reference area,TIME_PERIOD,fb_index,n_obs,tonnes_CO2,hectares,tonnes_oil,sq_km,cubic_m
Estonia,2002,101.57050000000001,2,2265.9731808672477,399.38,1407.415,12724.42999925,14.6375
Estonia,2003,93.8735,2,2602.2845294211033,442.7,1476.38,12732.524167166666,15.385714285714286
Estonia,2004,97.3925,2,2428.3174473465374,414.88,1532.33,11795.186153692308,13.1375
Estonia,2005,98.528,2,2308.8631076904303,10346.35,1566.7099999999998,11812.965384692307,1.4285714285714286
Estonia,2006,97.77850000000001,2,1981.9886426564317,12537.833333333334,1580.1000000000001,11830.744615384614,0.6666666666666666
Estonia,2007,95.918,2,2395.8391858133577,13657.716666666667,1672.4,11843.908461846153,0.6666666666666666
Estonia,2008,98.7165,2,2162.2499834325454,14957.166666666666,1653.82,11857.53384623077,4.1875
Estonia,2009,79.29050000000001,2,1747.617895570962,17458.566666666666,1465.51,11872.544000076923,1.1428571428571428
Estonia,2010,71.66799999999999,2,2369.5393203556396,20683.350000000002,1534.29,11898.47692323077,341.6277777777778
Estonia,2011,72.35549999999999,2,2483.3429934182127,22715.3,1488.585,11921.615307538461,350.1888888888889
Estonia,2012,81.3275,2,2488.671249836139,24097.716666666664,1514.7150000000001,11942.446152923078,281.41999999999996
Estonia,2013,84.775,2,2829.2814692139127,25619.649999999998,1559.62,12135.584615076923,348.29999999999995
Estonia,2014,85.1805,2,2788.9516372682156,26357.95,1508.4199999999998,12152.261538153845,310.3780666666667
Estonia,2015,80.904,2,2442.399754568471,26408.816666666666,1489.985,12165.553922846155,303.68933333333337
Estonia,2016,73.483,2,2734.412142367446,30589.975000000002,1498.505,11370.577142785714,324.3206666666667
Estonia,2017,76.84649999999999,2,2886.577252345864,33179.10833333333,1544.66,12092.920076615384,321.75333333333333
Estonia,2018,69.6325,2,2933.0667843125284,34872.23333333333,1570.225,12104.218615769232,271.9981375
Estonia,2019,71.914,2,2211.5259180977314,37232.443333333336,1533.58,12118.54546153846,109.86697664285714
Estonia,2020,74.969,2,1632.0915807068868,37243.625,1508.84,12122.046076846154,91.72726564285713
Finland,1990,108.9,1,7346.956045091302,2402.5166666666664,11622.665,97181.94166695,424.0
Finland,1991,120.61,1,5997.422772033095,3480.433333333333,11472.394999999999,97229.462499625,416.0
Finland,1992,122.42,1,6299.662281169149,3904.75,11503.855,97276.99083293334,419.5
Finland,1993,104.55,1,6530.037986183747,4502.616666666667,11457.96,97324.51999915001,419.0
Finland,1994,114.93,1,7819.474439665408,5459.833333333333,11990.4,97372.04250026667,419.0
Finland,1995,113.86,1,7460.824594629371,8527.033333333333,11565.24,97419.57166675001,412.0
Finland,1996,98.66,1,7672.535112089711,13000.157142857144,11747.465,97467.10000003333,419.0
Finland,1997,99.31,1,7896.8286607823375,15538.714285714286,12068.96,97514.62916658918,416.0
Finland,1998,110.48,1,7593.3964695684,17536.885714285712,12511.43,97562.15000075001,404.0
Finland,1999,100.58,1,7488.4570962136395,20463.885714285716,12512.314999999999,97609.67083251166,1473.6
Finland,2000,100.0,1,7279.997833633322,21980.72857142857,12515.18,97657.19916580418,2186.6666666666665
Finland,2001,102.5,1,7912.938902422614,22080.22857142857,12719.73,97640.23166687916,2186.6666666666665
Finland,2002,98.24,1,8137.942264043602,23342.27142857143,13094.775000000001,97623.26166714584,2884.6666666666665
Finland,2003,99.85,1,9062.384658575638,23813.22857142857,13253.69,97606.29166640417,2944.0
Finland,2004,84.19,1,8446.54797940463,24107.428571428572,13363.01,90207.06000068077,2731.6666666666665
